,Zip.Code,RUCC_2023
3802,53590,2.0
3803,53590,2.0
3804,53925,2.0
3805,53925,2.0
3806,53562,2.0
3807,53562,2.0
3808,53575,2.0
3809,53575,2.0
3810,53713,2.0
3811,53713,2.0
3812,53532,2.0
3813,53532,2.0
3814,53590,2.0
3815,53590,2.0
3816,53705,2.0
3817,53705,2.0
3818,53711,2.0
3819,53711,2.0
3820,53523,2.0
3821,53523,2.0
3822,53711,2.0
3823,53711,2.0
3824,53532,2.0
3825,53532,2.0
3826,53718,2.0
3827,53718,2.0
3828,53593,2.0
3829,53593,2.0
3830,53716,2.0
3831,53716,2.0
3832,53714,2.0
3833,53714,2.0
3834,53718,2.0
3835,53718,2.0
3838,53704,2.0
3839,53704,2.0
3840,53590,2.0
3841,53590,2.0
3842,53590,2.0
3843,53570,2.0
3844,53570,2.0
3845,53590,2.0
3846,53590,2.0
3847,53562,2.0
3848,53562,2.0
3849,53575,2.0
3850,53575,2.0
3851,53562,2.0
3852,53562,2.0
3853,53558,2.0
3854,53558,2.0
3855,53551,4.0
3856,53551,4.0
3857,53562,2.0
3858,53562,2.0
3861,53705,2.0
3862,53705,2.0
3863,53932,2.0
3864,53932,2.0
3865,53719,2.0
3866,53719,2.0
3869,53590,2.0
3870,53590,2.0
3871,53717,2.0
3872,53717,2.0
3873,53532,2.0
3874,53532,2.0
3875,53520,2.0
3876,53520,2.0
3877,53508,2.0
3878,53508,2.0
3879,53593,2.0
3880,53593,2.0
3881,53704,2.0
3882,53704,2.0
3883,53959,4.0
3884,53959,4.0
3887,53726,2.0
3888,53726,2.0
3889,53718,2.0
3890,53718,2.0
3891,53590,2.0
3892,53590,2.0
3895,53718,2.0
3896,53718,2.0
3897,53718,2.0
3898,53718,2.0
3899,53704,2.0
3900,53704,2.0
3901,53711,2.0
3902,53711,2.0
3903,53572,2.0
3904,53572,2.0
3907,53558,2.0
3908,53558,2.0
3909,53955,2.0
3910,53955,2.0
3911,53562,2.0
3912,53562,2.0
3913,53718,2.0
3914,53718,2.0
3915,53565,2.0
3916,53562,2.0
3917,53562,2.0
3918,53925,2.0
3919,53925,2.0
3920,53925,2.0
3921,53590,2.0
3922,53590,2.0
3923,53716,2.0
3924,53716,2.0
3925,53718,2.0
3926,53718,2.0
3927,53713,2.0
3928,53713,2.0
3929,53597,2.0
3930,53597,2.0
3931,53590,2.0
3932,53590,2.0
3933,53711,2.0
3934,53711,2.0
3935,53711,2.0
3936,53711,2.0
3937,53719,2.0
3938,53719,2.0
3939,53551,4.0
3940,53551,4.0
3941,53527,2.0
3942,53527,2.0
3943,53583,4.0
3944,53583,4.0
3945,53558,2.0
3946,53558,2.0
3947,53704,2.0
3948,53704,2.0
3949,53718,2.0
3950,53718,2.0
3951,53593,2.0
3952,53704,2.0
3953,53704,2.0
3954,53711,2.0
3955,53711,2.0
3956,53719,2.0
3957,53719,2.0
3958,53705,2.0
3959,53705,2.0
3960,53704,2.0
3961,53704,2.0
3962,53704,2.0
3963,53560,2.0
3964,53560,2.0
3967,53562,2.0
3968,53562,2.0
3969,53562,2.0
3970,53562,2.0
3971,53717,2.0
3972,53717,2.0
3973,53955,2.0
3974,53955,2.0
3975,53711,2.0
3976,53711,2.0
3977,53719,2.0
3978,53719,2.0
3979,53704,2.0
3980,53704,2.0
3981,53711,2.0
3982,53711,2.0
3983,53717,2.0
3984,53717,2.0
3987,53589,2.0
3988,53589,2.0
3989,53593,2.0
3990,53593,2.0
3991,53714,2.0
3992,53714,2.0
3993,53705,2.0
3994,53705,2.0
3995,53717,2.0
3996,53717,2.0
3997,53714,2.0
3998,53714,2.0
3999,53704,2.0
4000,53704,2.0
4001,53575,2.0
4002,53575,2.0
4003,53559,2.0
4004,53559,2.0
4005,53597,2.0
4006,53597,2.0
4007,53704,2.0
4008,53704,2.0
4009,53503,2.0
4010,53714,2.0
4011,53714,2.0
4012,53565,2.0
4013,53711,2.0
4014,53711,2.0
4015,53704,2.0
4016,53717,2.0
4017,53717,2.0
4018,53705,2.0
4019,53705,2.0
4020,53593,2.0
4021,53593,2.0
4024,53589,2.0
4025,53589,2.0
4026,53704,2.0
4027,53704,2.0
4028,53589,2.0
4029,53589,2.0
4030,53575,2.0
4031,53575,2.0
4032,53590,2.0
4033,53590,2.0
4034,53531,2.0
4035,53531,2.0
4036,53718,2.0
4037,53718,2.0
4038,53520,2.0
4039,53520,2.0
4040,53590,2.0
4041,53590,2.0
4042,53717,2.0
4043,53705,2.0
4044,53705,2.0
4047,53711,2.0
4048,53711,2.0
4049,53717,2.0
4050,53717,2.0
4051,53583,4.0
4052,53583,4.0
4053,53562,2.0
4054,53562,2.0
4055,53562,2.0
4056,53562,2.0
4057,53532,2.0
4058,53532,2.0
4059,53575,2.0
4060,53575,2.0
4061,53705,2.0
4062,53705,2.0
4063,53718,2.0
4064,53718,2.0
4067,53562,2.0
4068,53562,2.0
4071,53523,2.0
4072,53523,2.0
4075,53589,2.0
4076,53589,2.0
4077,53572,2.0
4078,53572,2.0
4079,53589,2.0
4080,53589,2.0
4083,53717,2.0
4084,53717,2.0
4085,53705,2.0
4086,53705,2.0
4087,53589,2.0
4088,53705,2.0
4089,53705,2.0
4090,53711,2.0
4091,53711,2.0
4092,53575,2.0
4093,53575,2.0
4094,53558,2.0
4095,53558,2.0
4096,53717,2.0
4097,53717,2.0
4098,53717,2.0
4099,53717,2.0
4100,53507,2.0
4101,53507,2.0
4102,53590,2.0
4103,53590,2.0
4104,53704,2.0
4105,53704,2.0
4106,53555,2.0
4107,53555,2.0
4108,53704,2.0
4109,53704,2.0
4110,53528,2.0
4111,53528,2.0
4112,53589,2.0
4113,53589,2.0
4114,53714,2.0
4115,53714,2.0
4116,53531,2.0
4117,53531,2.0
4118,53718,2.0
4119,53718,2.0
4122,53711,2.0
4123,53711,2.0
4124,53527,2.0
4125,53527,2.0
4126,53717,2.0
4127,53719,2.0
4128,53719,2.0
4129,53719,2.0
4130,53719,2.0
4133,53704,2.0
4134,53704,2.0
4135,53704,2.0
4136,53704,2.0
4137,53925,2.0
4138,53925,2.0
4139,53704,2.0
4140,53704,2.0
4141,53593,2.0
4142,53593,2.0
4143,53719,2.0
4144,53719,2.0
4145,53529,2.0
4146,53529,2.0
4147,53589,2.0
4148,53589,2.0
4151,53711,2.0
4152,53711,2.0
4155,53562,2.0
4156,53562,2.0
4157,53532,2.0
4158,53532,2.0
4159,53719,2.0
4160,53719,2.0
4161,53597,2.0
4162,53597,2.0
4163,53715,2.0
4164,53715,2.0
4165,53562,2.0
4166,53562,2.0
4167,53590,2.0
4168,53590,2.0
4169,53532,2.0
4170,53532,2.0
4171,53717,2.0
4172,53717,2.0
4173,53590,2.0
4174,53590,2.0
4175,53533,2.0
4176,53533,2.0
4177,53558,2.0
4178,53558,2.0
4179,53593,2.0
4180,53593,2.0
4181,53515,2.0
4182,53515,2.0
4183,53705,2.0
4184,53705,2.0
4185,53925,2.0
4186,53925,2.0
4189,53932,2.0
4190,53932,2.0
4191,53719,2.0
4192,53719,2.0
4193,53704,2.0
4194,53704,2.0
4195,53532,2.0
4196,53532,2.0
4197,53715,2.0
4198,53715,2.0
4199,53714,2.0
4200,53714,2.0
4201,53590,2.0
4202,53590,2.0
4203,53593,2.0
4204,53593,2.0
4205,53590,2.0
4206,53590,2.0
4207,54313,2.0
4208,54313,2.0
4209,53703,2.0
4210,53703,2.0
4211,53704,2.0
4212,53704,2.0
4213,53597,2.0
4214,53597,2.0
4215,53523,2.0
4216,53523,2.0
4217,53590,2.0
4218,53590,2.0
4219,53589,2.0
4220,53589,2.0
4221,53711,2.0
4222,53711,2.0
4223,53515,2.0
4224,53515,2.0
4225,53705,2.0
4226,53705,2.0
4227,53527,2.0
4228,53527,2.0
4229,53562,2.0
4230,53562,2.0
4231,53590,2.0
4232,53590,2.0
4233,53717,2.0
4234,53717,2.0
4235,53715,2.0
4236,53715,2.0
4237,53521,2.0
4238,53521,2.0
4239,53590,2.0
4240,53590,2.0
4243,53705,2.0
4244,53705,2.0
4245,53719,2.0
4246,53719,2.0
4247,53704,2.0
4248,53704,2.0
4249,53593,2.0
4250,53593,2.0
4251,53572,2.0
4252,53572,2.0
4253,53562,2.0
4254,53562,2.0
4255,53716,2.0
4256,53716,2.0
4257,53718,2.0
4258,53718,2.0
4259,53575,2.0
4260,53575,2.0
4261,53523,2.0
4262,53523,2.0
4263,53597,2.0
4264,53597,2.0
4265,53711,2.0
4266,53711,2.0
4267,53959,4.0
4268,53959,4.0
4273,53711,2.0
4274,53711,2.0
4275,53590,2.0
4276,53590,2.0
4277,53527,2.0
4278,53527,2.0
4279,53562,2.0
4280,53562,2.0
4281,53562,2.0
4282,53562,2.0
4285,53593,2.0
4286,53593,2.0
4289,53704,2.0
4290,53704,2.0
4291,53703,2.0
4292,53703,2.0
4293,53532,2.0
4294,53532,2.0
4295,53716,2.0
4296,53716,2.0
