Account.ID,Avg_Open_Count,Avg_Email_Link_Click_Count,Avg_Response_Time,Donation_Frequency,Total_Donation_Amount,Donor_Score,Engagement Type,Donation Type,State.Province,Zip.Code
333,2.0,0.0,0.0,3,324.0,19.957780549751522,High Engagement,High Donation,Wisconsin,53597
334,0.0,0.0,0.0,3,225.0,19.890187209550223,High Engagement,High Donation,Wisconsin,53717
335,0.0,0.0,0.0,3,75.0,19.890187209550223,High Engagement,Low Donation,Wisconsin,53562
336,6.0,1.0,0.0,3,310.79999999999995,22.83865739495804,High Engagement,High Donation,Wisconsin,53711
337,1.0,0.0,0.0,3,38.13,19.923983879650873,High Engagement,Low Donation,Wisconsin,53704
338,1.0,0.0,0.0,3,310.79999999999995,19.923983879650873,High Engagement,High Donation,Wisconsin,53711
339,3.0,0.0,0.0,3,157.02,19.99157721985217,High Engagement,High Donation,Wisconsin,53705
340,1.5,1.0,0.0,3,927.81,22.68657237950512,High Engagement,High Donation,Wisconsin,53703
342,1.3333333333333333,0.0,0.0,3,155.39999999999998,19.93524943635109,High Engagement,High Donation,Wisconsin,53718
343,2.0,0.0,0.0,3,310.79999999999995,19.957780549751522,High Engagement,High Donation,Wisconsin,53704
344,0.0,0.0,0.0,3,309.9,19.890187209550223,High Engagement,High Donation,Wisconsin,53562
345,8.0,0.0,0.0,3,150.0,20.160560570355422,High Engagement,High Donation,Wisconsin,53590
346,1.0,0.0,0.0,3,38.01,19.923983879650873,High Engagement,Low Donation,Wisconsin,53593
347,0.0,0.0,0.0,3,155.39999999999998,19.890187209550223,High Engagement,High Donation,Wisconsin,53704
348,2.0,0.0,0.0,3,469.20000000000005,19.957780549751522,High Engagement,High Donation,Wisconsin,53597
349,2.3333333333333335,0.0,0.0,3,464.37,19.969046106451742,High Engagement,High Donation,Wisconsin,53593
350,0.0,0.0,0.0,3,300.0,19.890187209550223,High Engagement,High Donation,Wisconsin,53711
351,0.0,0.0,0.0,3,78.17999999999999,19.890187209550223,High Engagement,High Donation,Wisconsin,53713
352,1.6666666666666667,0.0,0.0,3,9000.0,19.946514993051306,High Engagement,High Donation,Wisconsin,53562
