,Zip Code,Population,Density,RUCC_2023,PerCapitaPersonalIncome
429,97444,5643.0,13.3,7.0,57405
430,97452,1719.0,30.8,2.0,61634
431,97462,3730.0,7.0,4.0,52684
432,97495,1673.0,87.5,4.0,52684
433,97501,45993.0,334.3,3.0,62541
434,97601,22726.0,15.8,5.0,51246
435,97641,1196.0,0.7,9.0,50163
436,97843,643.0,0.7,8.0,58480
437,98154,0.0,0.0,1.0,122235
438,98208,58162.0,1388.7,1.0,75320
439,98220,779.0,14.7,3.0,62095
440,98244,2725.0,2.2,3.0,62095
441,98362,24027.0,42.4,5.0,60321
442,98387,49386.0,672.5,1.0,65188
443,98499,31522.0,1317.6,1.0,65188
444,98532,24084.0,28.8,4.0,59759
445,98536,76.0,0.5,4.0,49968
446,98570,4175.0,13.6,4.0,59759
447,98590,305.0,38.1,7.0,50282
448,98611,9421.0,29.1,3.0,57947
449,98619,539.0,1.4,9.0,57126
450,98620,7669.0,6.1,9.0,57126
451,98629,9154.0,91.4,1.0,69318
452,98663,14430.0,1294.6,1.0,69318
453,98851,4874.0,11.8,5.0,49727
454,98932,5442.0,62.3,2.0,51488
455,98937,4031.0,2.0,2.0,51488
456,98947,3672.0,34.4,2.0,51488
457,99323,3904.0,12.0,3.0,56420
458,99337,32411.0,79.6,2.0,56969
459,99609,543.0,17.8,7.0,48831
460,99645,30540.0,26.7,2.0,60538
461,99760,504.0,0.1,8.0,69573
462,99765,236.0,12.6,8.0,69573
463,99771,302.0,117.4,9.0,63573
464,99781,125.0,0.0,8.0,69573
465,99903,0.0,0.0,9.0,65946
466,21048,10276.0,146.6,1.0,74895
467,21053,3225.0,55.5,1.0,74738
468,21146,27555.0,1039.8,1.0,84019
469,21562,3519.0,46.9,4.0,49182
470,21601,23399.0,82.6,6.0,98166
471,21853,11957.0,38.8,3.0,37345
472,21918,3692.0,80.7,1.0,59373
473,31031,6780.0,19.6,8.0,43443
474,31775,3332.0,28.2,5.0,48399
475,31778,2277.0,8.3,4.0,57135
476,31804,6186.0,45.4,2.0,60495
477,32181,2558.0,39.4,4.0,41712
478,32228,470.0,1402.2,1.0,58975
479,32246,51589.0,1056.2,1.0,58975
480,32254,13431.0,418.1,1.0,58975
481,32332,1077.0,92.7,2.0,47181
482,32714,37981.0,1713.9,1.0,62804
483,32726,22485.0,710.3,1.0,55387
484,32751,22471.0,1233.8,1.0,59767
485,32903,14557.0,1521.2,2.0,60162
486,33004,16082.0,1086.6,1.0,70982
487,33063,54707.0,2397.5,1.0,70982
488,33176,52288.0,1641.9,1.0,75182
489,33326,33155.0,1423.5,1.0,70982
490,33331,25718.0,800.7,1.0,70982
491,33418,40926.0,340.9,1.0,117322
492,33446,26006.0,472.9,1.0,117322
493,33570,29967.0,293.3,1.0,63640
494,33629,27061.0,2170.4,1.0,63640
495,33703,25699.0,1973.6,1.0,71904
496,33707,24767.0,1815.7,1.0,71904
497,33815,15148.0,788.9,2.0,44430
498,33847,176.0,63.0,2.0,44430
499,33904,31086.0,1234.1,2.0,65878
500,33935,23513.0,26.6,4.0,41164
501,34219,24750.0,67.3,2.0,64096
502,34473,19998.0,201.6,2.0,46682
503,34480,19188.0,219.7,2.0,46682
504,34683,33514.0,1227.9,1.0,71904
505,34785,38097.0,192.9,3.0,71231
506,35553,4111.0,11.1,8.0,44873
507,35570,11159.0,18.0,9.0,45211
508,35577,48.0,4.9,8.0,44873
509,35584,365.0,235.8,1.0,51485
510,35613,26379.0,132.4,2.0,57194
511,35645,13654.0,61.1,3.0,47168
512,35760,4876.0,35.6,2.0,66005
513,35805,20491.0,865.0,2.0,66005
514,35811,27245.0,227.5,2.0,66005
515,35824,8298.0,251.0,2.0,66005
516,36025,6231.0,167.2,2.0,51950
517,36343,1241.0,4.8,3.0,54541
518,36467,9810.0,22.9,6.0,43081
519,36523,2809.0,28.3,2.0,50513
520,36571,15474.0,130.9,2.0,50513
521,36758,1412.0,6.2,4.0,45618
522,37037,8768.0,45.7,1.0,54623
523,37076,40161.0,568.0,1.0,92496
524,37326,462.0,91.3,3.0,42519
525,37339,2565.0,28.2,8.0,40453
526,37406,14058.0,442.8,2.0,65525
527,37722,5911.0,24.9,6.0,42387
528,37748,16576.0,62.6,2.0,53353
529,37777,12122.0,141.7,2.0,58447
530,38050,595.0,116.4,3.0,50106
531,38079,5229.0,19.1,9.0,32554
532,38117,26296.0,1086.4,1.0,61979
533,38224,858.0,5.9,7.0,55959
534,38225,5606.0,19.6,6.0,47451
535,38321,2300.0,9.3,6.0,44182
536,38343,15413.0,43.0,3.0,49536
537,38552,157.0,9.6,1.0,50388
538,38619,5368.0,15.1,6.0,43391
539,38642,2289.0,10.6,1.0,45081
540,38676,5843.0,10.7,1.0,48516
541,38746,504.0,3.0,7.0,51015
542,38759,926.0,5.8,7.0,51015
543,38945,64.0,1.4,6.0,51319
544,39038,5703.0,10.3,8.0,43876
545,39047,39426.0,151.6,2.0,56864
546,39079,1708.0,9.9,2.0,38193
547,39116,2285.0,10.3,8.0,47687
548,39305,21126.0,74.8,5.0,50952
549,39327,4045.0,15.0,8.0,41357
550,39356,383.0,2.8,8.0,45999
551,39443,21572.0,31.6,4.0,49765
